species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Mg I *	3snf 3F° J=4	4–5	2	1	untested	4.0–5.0	+0.0413	0.0022	1	61,671.050	published	unverified
Mg II *	nd 2D J=3/2	3–4	2	1	untested	3.0–4.0	+0.0340	0.0036	2	121,267.640	published	unverified
Mg II *	nd 2D J=5/2	3–4	2	1	untested	3.0–4.0	+0.0340	0.0036	2	121,267.640	published	unverified
Ne I *	2p5(2P°3/2)nd 2[7/2]° J=4	3–4	2	1	untested	3.0–4.0	+0.0193	0.0014	1	173,929.750	published	unverified
Ne I *	2p5(2P°3/2)ns 2[3/2]° J=2	3–4	2	1	untested	1.7–2.7	+1.3329	0.0085	1	173,929.750	published	unverified
Ne II *	nd 2F J=5/2	3–4	2	1	untested	3.0–4.0	+0.0289	0.0055	2	356,229.300	published	unverified
Ne II *	nd 2F J=7/2	3–4	2	1	untested	3.0–4.0	+0.0289	0.0055	2	356,229.300	published	unverified
Ne II *	nd 2G J=7/2	3–4	2	1	untested	2.9–3.9	+0.0674	0.0050	2	356,229.300	published	unverified
Ne II *	nd 2G J=9/2	3–4	2	1	untested	2.9–3.9	+0.0674	0.0050	2	356,229.300	published	unverified
Ne II *	nd 2P J=3/2	3–4	2	1	untested	2.9–3.9	+0.0605	0.0040	2	356,229.300	published	unverified
Sc III *	3p6.nh 2H* J=11/2	6–7	2	1	untested	6.0–7.0	+0.0022	0.0001	3	199,677.370	published	unverified
Sc III *	3p6.nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0022	0.0001	3	199,677.370	published	unverified
Zn I *	4snd 3D J=1	4–5	2	1	untested	2.9–3.9	+1.0940	0.0007	1	75,769.330	published	unverified
Zn I *	4snd 3D J=2	4–5	2	1	untested	2.9–3.9	+1.0936	0.0007	1	75,769.330	published	unverified
Zn I *	4snd 3D J=3	4–5	2	1	untested	2.9–3.9	+1.0930	0.0007	1	75,769.330	published	unverified
Ba III *	ng 2[11/2]* J=5	5–6	2	1	untested	5.0–6.0	+0.0394	0.0028	3	289,100.000	published	unverified
Ba III *	ng 2[11/2]* J=6	5–6	2	1	untested	5.0–6.0	+0.0397	0.0029	3	289,100.000	published	unverified
Ba III *	ng 2[5/2]* J=2	5–6	2	1	untested	5.0–6.0	+0.0428	0.0002	3	289,100.000	published	unverified
Ba III *	ng 2[5/2]* J=3	5–6	2	1	untested	5.0–6.0	+0.0422	0.0000	3	289,100.000	published	unverified
Ba III *	ng 2[7/2]* J=3	5–6	2	1	untested	5.0–6.0	+0.0208	0.0006	3	289,100.000	published	unverified
Ba III *	ng 2[7/2]* J=4	5–6	2	1	untested	5.0–6.0	+0.0212	0.0007	3	289,100.000	published	unverified
Ba III *	ng 2[9/2]* J=4	5–6	2	1	untested	5.0–6.0	+0.0174	0.0030	3	289,100.000	published	unverified
Ba III *	ng 2[9/2]* J=5	5–6	2	1	untested	5.0–6.0	+0.0172	0.0029	3	289,100.000	published	unverified
Si I	ns (3/2,1/2)* J=1	11–24	14	12	untested	9.1–22.1	+1.8546	0.0082	1	66,035.000	published	unverified
Si I	ns (3/2,1/2)* J=2	11–19	9	7	untested	9.1–17.1	+1.8883	0.0005	1	66,035.000	published	unverified
Si I	nf 2[3/2] J=1	4–7	4	2	untested	4.0–7.0	-0.0003	0.0026	1	66,035.000	published	unverified
Si I	nf 2[3/2] J=2	4–7	4	2	untested	4.0–7.0	-0.0008	0.0023	1	66,035.000	published	unverified
Si I	nf 2[5/2] J=2	4–7	4	2	untested	4.0–7.0	+0.0277	0.0056	1	66,035.000	published	unverified
Si I	nf 2[5/2] J=3	4–7	4	2	untested	4.0–7.0	+0.0281	0.0057	1	66,035.000	published	unverified
Si I	nf 2[7/2] J=3	4–7	4	2	untested	4.0–6.9	+0.0471	0.0041	1	66,035.000	published	unverified
