Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
72	1	1	3	t 3F*	b_4F	LS	6	6	3	3	yes	1.16456	1.16456	0.59749	1.29791	1.96792	0	no	void — limit is not this parent's core	
80	1	0	1	1S		LS	6	20	15	14	no	4.63928	4.63849	4.64302	4.64864	0.03742	0	no	usable	
80	1	1	3	3P*		LS	6	20	43	45	no	4.20528	4.20589	4.19419	4.20609	0.37242	0	no	usable	
80	1	1	1	1P*		LS	6	20	15	15	yes	4.02736	4.02736	4.02757	4.03144	0.22763	0	no	usable	
80	1	0	3	3S		LS	7	20	14	14	yes	4.70092	4.70092	4.70707	4.69622	0.06196	0	no	usable	
80	1	1	2	2[3/2]*	2D<5/2>	jK	6	20	16	16	yes	4.13166	4.13166	4.15867	3.99327	0.53717	0	no	usable	
80	1	2	1	1D		LS	6	20	15	15	yes	3.08048	3.08048	3.08545	3.14011	0.06593	0	no	usable	
80	1	2	3	3D		LS	6	20	45	45	yes	3.05671	3.05671	3.05562	3.04542	0.04541	0	no	usable	
80	1	3	3	3F*		LS	5	21	35	37	no	1.03294	1.03317	1.03576	1.09796	0.08672	0	no	usable	
80	1	3	1	1F*		LS	5	21	17	17	yes	1.03520	1.03520	1.04743	1.12664	0.10234	0	no	usable	
80	1	4	3	3G		LS	5	11	9	9	yes	0.00379	0.00379	0.00178	-0.03514	0.05853	0	no	usable	
80	1	4	1	1G		LS	5	11	7	7	yes	0.00352	0.00352	-0.00174	-0.03514	0.04858	0	no	usable	
80	1	1	2	2[1/2]*	2D<3/2>	jK	6	20	15	15	yes	4.22544	4.22544	4.21445	4.22544	0.51900	0	no	usable	
80	1	1	3	3P		LS	6	6	3	0	no									outer_occupancy_gt_1
80	1	1	2	2[3/2]*	2D<3/2>	jK	6	13	8	8	yes	4.17028	4.17028	4.19563	4.16546	0.21594	0	no	usable	
80	1	3	2	2[3/2]*	2D<5/2>	jK	5	13	9	9	yes	1.04341	1.04341	1.04735	1.05968	0.03146	0	no	usable	
80	1	3	2	2[1/2]*	2D<5/2>	jK	5	13	9	9	yes	1.03651	1.03651	1.04058	1.05270	0.03121	0	no	usable	
80	1	3	2	2[3/2]*	2D<3/2>	jK	5	13	9	9	yes	1.03824	1.03824	1.07522	1.25121	0.22176	0	no	usable	
49	1	1	2	2P*		LS	5	11	14	14	yes	3.23261	3.23261	3.26187	3.22835	0.26525	1	yes	usable	
49	1	0	2	2S		LS	6	24	19	19	yes	3.72626	3.72626	3.73048	3.74611	0.07521	0	no	usable	
49	1	2	2	2D		LS	5	30	52	52	yes	2.35880	2.35880	2.33990	2.41427	0.24241	0	no	usable	
49	1	1	4	4P		LS	5	5	3	0	no									outer_occupancy_gt_1
49	1	3	2	2F*		LS	4	12	12	16	no	0.03940	0.03899	0.03762	0.04016	0.01038	0	no	usable	
36	1	0	2	2[3/2]*	2P*<3/2>	jK	5	20	32	32	yes	3.10103	3.10103	3.09726	3.10252	0.10812	0	no	usable	
36	1	1	2	2[1/2]	2P*<3/2>	jK	5	20	32	32	yes	2.54309	2.54309	2.58202	2.52460	0.64668	0	no	usable	
36	1	1	2	2[5/2]	2P*<3/2>	jK	5	20	28	32	no	2.62801	2.62770	2.63319	2.61867	0.07442	0	no	usable	
36	1	1	2	2[3/2]	2P*<3/2>	jK	5	20	32	32	yes	2.59629	2.59629	2.59542	2.59229	0.13251	0	no	usable	
36	1	2	2	2[1/2]*	2P*<3/2>	jK	4	20	34	34	yes	1.45565	1.45565	1.45551	1.47398	0.19036	0	no	usable	
36	1	1	2	2[3/2]	2P*<1/2>	jK	5	7	6	6	yes	1.01205	1.01205	-2.10867	-9.08514	12.53044	0	no	usable	
36	1	2	2	2[3/2]*	2P*<3/2>	jK	4	20	34	34	yes	1.23945	1.23945	1.25894	1.40933	0.32757	0	no	usable	
36	1	2	2	2[7/2]*	2P*<3/2>	jK	4	20	34	34	yes	1.35829	1.35829	1.36268	1.40406	0.13739	0	no	usable	
36	1	1	2	2[1/2]	2P*<1/2>	jK	5	7	6	6	yes	0.91407	0.91407	-2.83682	-9.23511	16.40979	0	no	usable	
36	1	2	2	2[5/2]*	2P*<3/2>	jK	4	20	34	34	yes	1.27794	1.27794	1.27609	1.31256	0.12890	0	no	usable	
36	1	3	2	2[3/2]	2P*<3/2>	jK	4	20	32	32	yes	0.03068	0.03068	0.03105	0.03089	0.02381	0	no	usable	
36	1	3	2	2[9/2]	2P*<3/2>	jK	4	20	16	27	no	0.02447	0.02447	0.02387	0.02494	0.00585	0	no	usable	
36	1	3	2	2[5/2]	2P*<3/2>	jK	4	20	29	29	yes	0.01477	0.01477	0.01439	0.01586	0.00671	0	no	usable	
36	1	3	2	2[7/2]	2P*<3/2>	jK	4	20	13	24	no	0.00744	0.00745	0.00680	0.00807	0.00575	0	no	usable	
71	1	1	2	2P*		LS	6	27	38	42	no	4.02164	4.00005	3.92284	3.99322	1.76614	0	no	usable	
71	1	1	4	4F*	3D	LS	6	6	4	4	yes	3.87341	3.87341	3.85697	3.95870	0.23636	0	no	void — limit is not this parent's core	
71	1	0	4	4F	3F	LS	6	6	4	4	yes	3.85864	3.85864	3.85275	3.90116	0.10861	0	no	void — limit is not this parent's core	
71	1	1	4	4D*	3D	LS	6	6	4	4	yes	3.76889	3.76889	3.75623	3.81570	0.14427	0	no	void — limit is not this parent's core	
71	1	0	4	4P	3P	LS	6	6	3	3	yes	3.72994	3.72994	3.74101	3.78119	0.06930	0	no	void — limit is not this parent's core	
71	1	1	4	4P*	3D	LS	6	6	3	3	yes	3.62499	3.62499	3.61040	3.63706	0.06791	0	no	void — limit is not this parent's core	
71	1	0	2	2S		LS	7	14	8	9	no	4.48879	4.45153	4.26857	4.07292	1.53971	0	no	usable	
71	1	2	2	2D		LS	6	34	31	31	yes	2.88031	2.88031	2.88863	2.90586	0.72844	0	no	usable	
71	1	1	4	4P		LS	6	6	3	0	no									outer_occupancy_gt_1
71	1	3	2	2F*		LS	5	35	60	61	no	1.12064	1.11985	1.12238	1.16918	0.15290	0	no	usable	
71	1	0	4	4D	3D	LS	7	7	4	4	yes	2.82159	2.82159	2.67423	3.00126	0.94876	0	no	void — limit is not this parent's core	
11	1	0	2	2S		LS	3	20	18	18	yes	1.34857	1.34857	1.35076	1.34815	0.02475	8	yes	usable	
11	1	1	2	2P*		LS	3	20	36	36	yes	0.85615	0.85615	0.85865	0.85576	0.02842	20	yes	usable	
11	1	2	2	2D		LS	3	20	29	36	no	0.01488	0.01488	0.01422	0.01490	0.00466	20	yes	usable	
11	1	3	2	2F*		LS	4	20	17	25	no	0.00160	0.00159	0.00154	0.00161	0.00050	13	yes	usable	
11	1	4	2	2G		LS	5	20	18	18	yes	0.00042	0.00042	0.00040	0.00045	0.00015	17	yes	usable	
11	1	5	2	2H*		LS	6	10	6	6	yes	0.00013	0.00013	0.00013	0.00014	0.00003	6	yes	usable	
11	1	1	4	4D	3P*	LS	3	3	4	0	no									no_outer_electron
11	1	1	4	4P	3P*	LS	3	3	3	0	no									no_outer_electron
11	1	1	2	2D	3P*	LS	3	4	3	1	no	1.25839	0.88647	0.88647	0.88647	0.00000	0	no	usable	
11	1	1	2	2D	1P*	LS	3	4	4	2	no	1.09397	1.13804	1.13804	1.16324	0.05041	0	no	usable	
11	1	1	2	2P	1P*	LS	3	4	4	2	no	1.08301	1.12180	1.12180	1.13880	0.03400	0	no	usable	
11	1	0	4	4P*	3P*	LS	4	10	7	7	yes	1.56493	1.56493	-1.07097	-13.09303	14.75494	0	no	usable	
11	1	0	2	2P*	3P*	LS	4	16	13	13	yes	1.57204	1.57204	1.56216	1.55312	0.45287	0	no	usable	
11	1	2	2	2P*	3P*	LS	3	4	4	4	yes	0.40245	0.40245	0.40369	0.43820	0.06654	0	no	usable	
