sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
69	orthorhombic	oF	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
69	orthorhombic	oF	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
69	orthorhombic	oF	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
69	orthorhombic	oF	8	0/1,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
69	orthorhombic	oF	8	1/2,0/1,1/2	4	2	1	0	2	1+1	1	0
70	orthorhombic	oF	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
70	orthorhombic	oF	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
70	orthorhombic	oF	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
70	orthorhombic	oF	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
70	orthorhombic	oF	8	1/2,0/1,1/2	4	2	4	0	2	1+1	1	0
71	orthorhombic	oI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
71	orthorhombic	oI	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
71	orthorhombic	oI	8	0/1,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
71	orthorhombic	oI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
71	orthorhombic	oI	8	1/2,0/1,3/4	2	4	1	0	4	1+1+1+1	1	0
71	orthorhombic	oI	8	1/2,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
72	orthorhombic	oI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
72	orthorhombic	oI	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
72	orthorhombic	oI	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
72	orthorhombic	oI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
72	orthorhombic	oI	8	1/2,0/1,3/4	2	4	2	0	4	1+1+1+1	1	0
